nombre,coste_limpieza
Benajarafe   1,50
Benajarafe   2,50
Benajarafe   3,50
Benajarafe Beach & Pool,150
Catedral 1,40
Cervantes,30
Cervantes 2,30
Constitución 3,30
Constitución 4,30
Constitución 5,30
Felix Saenz,30
Fresca 2,30
Granada,60
Granada 2,60
Granada 3,60
Granada 7,60
Hills Downtown 3º B,50
Hills Downtown 3º C,50
Kora 2 A,30
Kora 2 B,30
Kora 3 A,30
Kora 3 B,30
Luxury Loft 1,40
Luxury Loft 3,60
Luxury Penthouse Nueva 3,80
Malagueta Beach,40
Marqués,50
Mediterráneo Outdoor Pool,50
Palacio,40
Penthouse Atarazanas,75
Penthouse Padilla,60
Penthouse Plaza La Merced,80
Penthouse Santos Suites 1,30
Penthouse Santos Suites 2,30
Plaza Las Flores,60
Plaza Las Flores 2 with terrace,30
Santos Suites 101,30
Santos Suites 102,50
Santos Suites 201,30
Santos Suites 202,50
Santos Suites 301,30
Santos Suites 302,50
Uncibay,40
Uncibay 3,50
Victoria,60
