nombre,limpieza
101 COSY FLAT III BGOLF ,120
102 LOFT PUERTO MARINA B ,72
103 SEASIDE FLAT I PM BENALMADENA ,78
104 PORTVIEW MARINA FLAT II ,95
106 LOFT ALOHA PLAYA AZUL BENALMADENA ,72
107 ALOHA 504 PLAYA BEN ,72
108 LOFT SEAVIEW BENAL ,72
109 CENTER FLAT I ARROYO M ,72
112 TORREALMADENA FLAT II ,95
114 LUZBRISA FLAT III BEN ,110
115 FLAT I JARDINES BENAL ,78
116 COZY FLAT I BEN COSTA ,78
118 BENALBEACH ESTUDIO ,72
121 JUPITER STUDIOBENALM ,78
122 STUDIO MARYSOL ,72
202 COSY FLAT CARLOTA 27 ,90
205 DREAMLOFT CARI BEACH ,72
206 BEACH FLAT I TORREM ,78
207 COSTA LAGO FLAT II T ,120
208 COSTA LAGO FLAT I ,78
209 PETIT STUDIO TORREM ,72
"211 CARLOTA AL 99, 1HB ",78
212 COSTA LAGO FLAT II T ,90
213 COSTALAGO FLAT III 2A ,120
214 CRUZ LOFT TORRE,72
215 NAVAJAS FLAT 3HB TORR ,120
216 CHALET LA COLINA TORREM,165
220 CARLOTA 144 1-L 2HB ,95
221 ISABEL MANOJA 602 TORREM,72
223 PISO JUSTIN ,78
301 RELAX 70 RM NERJA,65
302 RELAX 69 RM NERJA,65
303 RELAX 68 RM NERJA,65
304 RELAX 61 RM NERJA,65
305 RELAX 60 RM NERJA,65
306 RELAX 59 RM NERJA,65
307 RELAX 58 RM NERJA,65
308 RELAX 57 RM NERJA,65
309 RELAX 56 RM NERJA,65
310 RELAX 54 RM NERJA,65
311 RELAX 44 RM NERJA,65
312 RELAX 19 RM NERJA,65
313 RELAX 53 RM NERJA,65
314 RELAX 17 RM NERJA,65
315 RELAX 55 RM NERJA,65
316 RELAX 29 RM NERJA,65
317 RELAX 12 RM NERJA,65
401 FLAT I SEAVIEW FUENGI ,75
402 DIAMOD LOFT FUENGI ,72
403 VILLA CALAHONDA MIJAS ,180
407 ESTUDIO FUENGIROLA ,65
501 SEAVIEW GUADALM LOFT ,72
502 LOFT TERRACE MALAGA CC ,72
503 COSY FLAT I CRISTO EP ,78
505 ESLAVA FLAT I A MÁLAGA ,78
506 ESLAVA FLAT I B MÁLAGA ,78
508 DRIZA 2HB MA ,80
509 BAILEN 3BH MÁLAGA ,95
510 DRIZA LOVELY FLAT II ,80
511 HARINA 3C 4HB,145
512 HARINA ATICO,95
513 HARINA 2B 3HB,145
601 CASA SOL ANDALUSI ALH ,100
514 ALVARO DE BAZAN ,72
224,75
408,95
517 C/SALITRE,78
123 .AVD DEL PARQUE 3 BENALBEACH 404,72
603 FLAT I ALHAURIN,72
226,90
225,78
